Volume_(BTC),Volume_(Currency),Weighted_Price
0.01,3.0,300.0
0.0,0.0,377.0
0.0,0.0,377.984375
0.0,0.0,378.0
0.0,0.0,378.0
0.015,5.67,378.0
0.0,0.0,375.00042553
0.0,0.0,375.00042553
0.235,88.1251,375.00042553
0.01,3.98,398.0
0.0,0.0,379.0
0.05,18.95,379.0
0.0,0.0,342.5
0.0,0.0,342.5
0.0,0.0,342.5
0.0,0.0,342.5
0.0,0.0,342.5
0.0,0.0,342.5
2.0,685.0,342.5
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.0,0.0,360.0
0.01,3.6,360.0
0.02,5.6663,283.315
0.0,0.0,260.0
0.0,0.0,260.0
0.0,0.0,260.0
1.0,260.0,260.0
0.0,0.0,200.0
0.0,0.0,109.94
0.0,0.0,199.9569876
0.0,0.0,200.12
0.0,0.0,195.0
0.2,42.0,210.0
0.0,0.0,215.0
0.0,0.0,215.0
0.0,0.0,222.58625
0.0,0.0,230.0
0.0,0.0,230.0
0.0,0.0,235.0
0.0,0.0,250.247136
0.0,0.0,299.81132075
0.0,0.0,259.0
1.284599,328.857344,256.0
0.0,0.0,231.10678289
0.1093,25.998098,237.86
0.0,0.0,231.91254453
0.0,0.0,219.2674
0.188,42.24869,224.72707447
0.7444,177.68817,238.69985223
47.18,10601.889699,224.71152393
0.0,0.0,226.38733431
0.0983,21.425598535,217.96132792
0.1,22.432584,224.32584
4.64,1053.832863,227.11915151
0.75,167.72608422,223.63477895
2.64,574.287565,217.53316856
1.15,254.242,221.08
0.15,32.745,218.3
5.92386291,1366.6423141,230.70120543
0.95,236.41065052,248.85331634
0.81,208.5668,257.48987654
4.7677582,1111.0415446,233.03227597
