Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
300.0,300.0,300.0,300.0,0.01,3.0,300.0
370.0,370.0,370.0,370.0,0.0,0.0,370.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.0,377.0,377.0,377.0,0.0,0.0,377.0
377.75,378.0,377.75,378.0,0.0,0.0,377.984375
377.75,378.0,377.75,378.0,0.0,0.0,377.984375
377.75,378.0,377.75,378.0,0.0,0.0,377.984375
377.75,378.0,377.75,378.0,0.0,0.0,377.984375
377.75,378.0,377.75,378.0,0.0,0.0,377.984375
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
377.9,377.9,377.9,377.9,0.0,0.0,377.9
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
377.01,377.01,377.01,377.01,0.0,0.0,377.01
377.01,377.01,377.01,377.01,0.0,0.0,377.01
378.0,378.0,378.0,378.0,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.0,0.0,378.0
377.1,377.1,377.1,377.1,0.0,0.0,377.1
377.1,377.1,377.1,377.1,0.0,0.0,377.1
377.1,377.1,377.1,377.1,0.0,0.0,377.1
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
,,,,0.0,0.0,378.0
378.0,378.0,378.0,378.0,0.015,5.67,378.0
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
,,,,0.0,0.0,375.00042553
375.01,375.01,375.0,375.0,0.235,88.1251,375.00042553
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
,,,,0.0,0.0,398.0
